Manufacturer,Item,Category,CSI Spec Section,Description,Mounting Type,Unit of Measure,Currency,URL
Claridge,Claridge Glass Whiteboard,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product family / series listing from Claridge All Products. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB2X3MGMI,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 24” x 36” Weight 48 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Invisi-Mount,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB2X3MGM,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 24” x 36” Weight 48 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB2X3MGM-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 24” x 36” Weight 48 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB3X4MGMI,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 36” x 48” Weight 96 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Invisi-Mount,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB3X4MGM,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 36” x 48” Weight 96 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB3X4MGM-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 36” x 48” Weight 96 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X4MGMI,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 48” Weight 128 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Invisi-Mount,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X4MGM,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 48” Weight 128 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X4MGM-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 48” Weight 128 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X6MGMI,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 72” Weight 195 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Invisi-Mount,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X6MGM,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 72” Weight 195 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X6MGM-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 72” Weight 195 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X8MGMI,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 96” Weight 256 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Invisi-Mount,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X8MGM,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 96” Weight 256 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB4X8MGM-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes- Magnetic (Invisible-Mount: ""GBXxXMGMI"" , Stand-off Edge Mount: ""GBXxXMGM"" , Through Glass Mount: ""GBXxXMGM-TG"") Size 48” x 96” Weight 256 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB2X3PGB,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes – Non-Magnetic (Stand-off Edge Mount: ""GBXxXPGB"" , Through Glass Mount ""GBXxXPGB-TG ) Size 24” x 36” Weight 48 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB2X3PGB-TG,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes – Non-Magnetic (Stand-off Edge Mount: ""GBXxXPGB"" , Through Glass Mount ""GBXxXPGB-TG ) Size 24” x 36” Weight 48 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",Through-Glass Standoff,EA,USD,https://claridgeproducts.com/product/claridge-glass/
Claridge,GB3X4PGB,Markerboard,101116,"Claridge Glass Whiteboard (Claridge). Claridge glass boards are stylish, functional and easy to maintain. Product Codes – Non-Magnetic (Stand-off Edge Mount: ""GBXxXPGB"" , Through Glass Mount ""GBXxXPGB-TG ) Size 36” x 48” Weight 96 lbs. Spec sheet: https://claridgeproducts.com/wp-content/uploads/2023/09/Claridge-Glass-Whiteboard_Tech-Data.pdf. Image: https://claridgeproducts.com/wp-content/uploads/2022/09/Glass-Invisimount-768x768.png.",,EA,USD,https://claridgeproducts.com/product/claridge-glass/
