manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Columbia,COLUMBIA-1TIER-PHEN-12x12x36,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 12""D x 36""H",12,12,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x12x48,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 12""D x 48""H",12,12,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x12x60,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 12""D x 60""H",12,12,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x12x72,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 12""D x 72""H",12,12,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x15x36,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 15""D x 36""H",12,15,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x15x48,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 15""D x 48""H",12,15,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x15x60,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 15""D x 60""H",12,15,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x15x72,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 15""D x 72""H",12,15,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x18x36,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 18""D x 36""H",12,18,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x18x48,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 18""D x 48""H",12,18,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x18x60,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 18""D x 60""H",12,18,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-12x18x72,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 12""W x 18""D x 72""H",12,18,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-15x12x36,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 15""W x 12""D x 36""H",15,12,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-PHEN-15x12x48,Locker,10 51 00,"Columbia 1-tier locker, solid phenolic. 15""W x 12""D x 48""H",15,12,48,Floor,,,USD,EA
