manufacturer,item,category,csi_spec_section,description,mounting_type,cost,labor_per,currency,unit_of_measure
Construction Specialties,CS-acrovyn-roll-on-adhesive,Accessory,10 26 00,Construction Specialties Acrovyn Roll-on Adhesive (acrovyn-roll-on-adhesive). Mounting Adhesive. buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/acrovyn-roll-on-adhesive,Adhesive,,,USD,EA
Construction Specialties,CS-acrovyn-trowel-on-adhesive,Accessory,10 26 00,Construction Specialties Acrovyn Trowel-on Adhesive (acrovyn-trowel-on-adhesive). Mounting Adhesive. buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/acrovyn-trowel-on-adhesive,Adhesive,,,USD,EA
Construction Specialties,CS-in-stock-acrovyn-inside-corner-trims-5-pack,Accessory,10 26 00,Construction Specialties Acrovyn Inside Corner Trims - 5 Pack (in-stock-acrovyn-inside-corner-trims-5-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-acrovyn-inside-corner-trims-5-pack,,,,USD,EA
Construction Specialties,CS-in-stock-acrovyn-outside-corner-trims-5-pack,Accessory,10 26 00,Construction Specialties Acrovyn Outside Corner Trims - 5 Pack (in-stock-acrovyn-outside-corner-trims-5-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-acrovyn-outside-corner-trims-5-pack,,,,USD,EA
Construction Specialties,CS-in-stock-acrovyn-vertical-joint-trims-5-pack,Accessory,10 26 00,Construction Specialties Acrovyn Vertical Joint Trims - 5 Pack (in-stock-acrovyn-vertical-joint-trims-5-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-acrovyn-vertical-joint-trims-5-pack,,,,USD,EA
Construction Specialties,CS-in-stock-acrovyn-wainscot-trims-5-pack,Accessory,10 26 00,Construction Specialties Acrovyn Wainscot Trims - 5 Pack (in-stock-acrovyn-wainscot-trims-5-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-acrovyn-wainscot-trims-5-pack,,,,USD,EA
Construction Specialties,CS-in-stock-clear-caulk-6-pack,Accessory,10 26 00,Construction Specialties Clear Caulk - 6 Pack (in-stock-clear-caulk-6-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-clear-caulk-6-pack,,,,USD,EA
Construction Specialties,CS-in-stock-color-match-caulk-6-pack,Accessory,10 26 00,Construction Specialties Color Match Caulk - 6 Pack (in-stock-color-match-caulk-6-pack). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-color-match-caulk-6-pack,,,,USD,EA
Construction Specialties,CS-in-stock-hrb-4c-additional-brackets,Accessory,10 26 00,Construction Specialties HRB-4C Additional brackets - 4 pack (in-stock-hrb-4c-additional-brackets). buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-hrb-4c-additional-brackets,,,,USD,EA
Construction Specialties,CS-in-stock-hrb-4c-end-caps-4-pack,Accessory,10 26 00,Construction Specialties HRB-4C End Caps - 4 pack (in-stock-hrb-4c-end-caps-4-pack). buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-hrb-4c-end-caps-4-pack,,,,USD,EA
Construction Specialties,CS-in-stock-hrb-4c-outside-corner-2-pack,Accessory,10 26 00,Construction Specialties HRB-4C Outside Corner - 2 Pack (in-stock-hrb-4c-outside-corner-2-pack). buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-hrb-4c-outside-corner-2-pack,,,,USD,EA
Construction Specialties,CS-in-stock-hrb-4c-splices-4-pack,Accessory,10 26 00,Construction Specialties HRB-4C Splices - 4 Pack (in-stock-hrb-4c-splices-4-pack). buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-hrb-4c-splices-4-pack,,,,USD,EA
Construction Specialties,CS-in-stock-primer-1-gallon,Accessory,10 26 00,Construction Specialties Primer - 1 Gallon (in-stock-primer-1-gallon). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-primer-1-gallon,,,,USD,EA
Construction Specialties,CS-in-stock-quick-lock-wrench,Accessory,10 26 00,Construction Specialties Quick Lock Wrench (in-stock-quick-lock-wrench). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-quick-lock-wrench,,,,USD,EA
Construction Specialties,CS-in-stock-scr-40-end-caps-4-pack,Accessory,10 26 00,Construction Specialties SCR-40 End Caps - 4 pack (in-stock-scr-40-end-caps-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-40-end-caps-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-48-end-caps-4-pack,Accessory,10 26 00,Construction Specialties SCR-48 End Caps - 4 pack (in-stock-scr-48-end-caps-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-48-end-caps-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-48-splices-4-pack,Accessory,10 26 00,Construction Specialties SCR-48 Splices - 4 pack (in-stock-scr-48-splices-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-48-splices-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-50-end-caps-4-pack,Accessory,10 26 00,Construction Specialties SCR-50 End Caps - 4 pack (in-stock-scr-50-end-caps-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-50-end-caps-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-64-end-caps,Accessory,10 26 00,Construction Specialties SCR-64 End Caps - 4 pack (in-stock-scr-64-end-caps). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-64-end-caps,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-64-splices-4-pack,Accessory,10 26 00,Construction Specialties SCR-64 Splices - 4 pack (in-stock-scr-64-splices-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-64-splices-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-80-end-caps-4-pack,Accessory,10 26 00,Construction Specialties SCR-80 End Caps - 4 pack (in-stock-scr-80-end-caps-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-80-end-caps-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-scr-80-splices-4-pack,Accessory,10 26 00,Construction Specialties SCR-80 Splices - 4 pack (in-stock-scr-80-splices-4-pack). Mounting Surface-Mounted. buyOnline available; SKU=URL slug; name=product title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-scr-80-splices-4-pack,Surface-Mounted,,,USD,EA
Construction Specialties,CS-in-stock-v-notch-trowel,Accessory,10 26 00,Construction Specialties V-Notch Trowel (in-stock-v-notch-trowel). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/in-stock-v-notch-trowel,,,,USD,EA
Construction Specialties,CS-pressure-roller,Accessory,10 26 00,Construction Specialties Pressure Roller (pressure-roller). buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/pressure-roller,,,,USD,EA
Construction Specialties,CS-roll-on-adhesive-textured-roller-cover-2-pack,Accessory,10 26 00,Construction Specialties Roll-On Adhesive - Textured Roller Cover - 2 Pack (roll-on-adhesive-textured-roller-cover-2-pack). Finish texture. Mounting Adhesive. buyOnline available; SKU derived from URL slug; name is marketing title | https://www.c-sgroup.com/product/wall-protection-accessories/roll-on-adhesive-textured-roller-cover-2-pack,Adhesive,,,USD,EA
Construction Specialties,CS-BG-10,Bumper Guard,10 26 00,Construction Specialties Acrovyn Bumper Guard BG-10. Mounting Bumper-Mounted. Bullnose bumper guard; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. | https://www.c-sgroup.com/product/crash-rails/bg-10,Bumper-Mounted,,,USD,EA
Construction Specialties,CS-BG-30,Bumper Guard,10 26 00,"Construction Specialties Acrovyn Bumper Guard BG-30. Profile height 2-3/4"". Mounting Bumper-Mounted. 2-3/4in high; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. | https://www.c-sgroup.com/product/crash-rails/bg-30",Bumper-Mounted,,,USD,EA
Construction Specialties,CS-8PH,Corner Guard,10 26 00,"Construction Specialties Corner Guard 8PH. split from combined listing ""8PH/S8PH"" | https://www.c-sgroup.com/product/corner-guards/8phs8ph",,,,USD,EA
Construction Specialties,CS-S8PH,Corner Guard,10 26 00,"Construction Specialties Corner Guard S8PH. split from combined listing ""8PH/S8PH"" | https://www.c-sgroup.com/product/corner-guards/8phs8ph",,,,USD,EA
Construction Specialties,CS-FS-10,Corner Guard,10 26 00,Construction Specialties FS Series Corner Guard FS-10. Product sheet reference on FS-20 page; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. ; Candidate model token from detail/CAD page https://www.c-sgroup.com/product/corner-guards/fs-10. Verify before CM_Deploy create. | https://www.c-sgroup.com/product/corner-guards/fs-20,,,,USD,EA
Construction Specialties,CS-FS-10M,Corner Guard,10 26 00,Construction Specialties Corner Guard FS-10M. Candidate model token from detail/CAD page https://www.c-sgroup.com/product/corner-guards/fs-10. Verify before CM_Deploy create. | https://www.c-sgroup.com/product/corner-guards/fs-10,,,,USD,EA
Construction Specialties,CS-FS-10MR,Corner Guard,10 26 00,Construction Specialties Corner Guard FS-10MR. Extracted from product/CAD page; verify before CM_Deploy create (gap vs existing). | https://www.c-sgroup.com/product/corner-guards/fs-10r,,,,USD,EA
Construction Specialties,CS-FS-10N,Corner Guard,10 26 00,FS Series Corner Guard FS-10N. Mounting Flush. 90° flush; standard retainer. Literature/CAD expansion; gap-check CM_Deploy before create. CM_Deploy catalog target only (do not publish to USISupply). | https://www.c-sgroup.com/product/corner-guards/fs-20,Flush,,,USD,EA
Construction Specialties,CS-FS-10R,Corner Guard,10 26 00,Construction Specialties Corner Guard FS-10R. model page from c-sgroup product family/sitemap; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. | https://www.c-sgroup.com/product/corner-guards/fs-10r,,,,USD,EA
Construction Specialties,CS-FS-20,Corner Guard,10 26 00,Construction Specialties FS Series Corner Guard FS-20. Mounting Flush. Flush mount Acrovyn; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. ; Candidate model token from detail/CAD page https://www.c-sgroup.com/product/corner-guards/fs-10. Verify before CM_Deploy create. | https://www.c-sgroup.com/product/corner-guards/fs-20,Flush,,,USD,EA
Construction Specialties,CS-FS-20M,Corner Guard,10 26 00,FS Series Corner Guard FS-20M. Mounting Flush. Odd-angle flush FS-20. Literature/CAD expansion; gap-check CM_Deploy before create. CM_Deploy catalog target only (do not publish to USISupply). | https://www.c-sgroup.com/product/corner-guards/fs-20,Flush,,,USD,EA
Construction Specialties,CS-FS-20MR,Corner Guard,10 26 00,FS Series Corner Guard FS-20MR. Mounting Flush. Odd-angle fire-rated flush. Literature/CAD expansion; gap-check CM_Deploy before create. CM_Deploy catalog target only (do not publish to USISupply). | https://www.c-sgroup.com/product/corner-guards/fs-20,Flush,,,USD,EA
Construction Specialties,CS-FS-20N,Corner Guard,10 26 00,Construction Specialties FS Series Corner Guard FS-20N. N variant | https://www.c-sgroup.com/product/corner-guards/fs-20,,,,USD,EA
Construction Specialties,CS-FS-20R,Corner Guard,10 26 00,Construction Specialties FS Series Corner Guard FS-20R. Related radius/variant of FS-20; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. ; Candidate model token from detail/CAD page https://www.c-sgroup.com/product/corner-guards/fs-10. Verify before CM_Deploy create. | https://www.c-sgroup.com/product/corner-guards/fs-20,,,,USD,EA
Construction Specialties,CS-FSC-25,Corner Guard,10 26 00,Construction Specialties Corner Guard FSC-25. model page from c-sgroup product family/sitemap; Model page from CS product family API. Prefer gap-check CM_Deploy before duplicating. | https://www.c-sgroup.com/product/corner-guards/fsc-25,,,,USD,EA
Construction Specialties,CS-FSC-254AN,Corner Guard,10 26 00,Construction Specialties FSC254AN End Wall Cap (FSC-254AN). Mounting Flush. 4ft flush-mounted end wall cap; store listing | https://www.thecornerguardstore.com/brands/csgroup.html?page=1,Flush,,,USD,EA
Construction Specialties,CS-FSC-258AN,Corner Guard,10 26 00,Construction Specialties FSC258AN End Wall Cap (FSC-258AN). Mounting Flush. 8ft flush-mounted end wall cap; store listing | https://www.thecornerguardstore.com/brands/csgroup.html?page=1,Flush,,,USD,EA
