manufacturer,item,category,csi_spec_section,description,mounting_type,cost,labor_per,currency,unit_of_measure
Construction Specialties,CS-1062N,Carrier,10 21 23,"Construction Specialties Standard Carrier 1062N. (factory 1062N). Our Standard Carrier combines a nylon axle and a wheel with a nickel plated brass bead chain and polished aluminum hook.  Mounting Track Carrier. Standard/General Carrier 1062N; nylon axle/wheel, nickel-plated brass bead chain, polished aluminum hook; ~50 lb capacity; typical spacing 6""; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/standard-carrier-1062n",Track Carrier,,,USD,EA
Construction Specialties,CS-1075,Carrier,10 21 23,"Construction Specialties Nylon Carrier 1075. (factory 1075). Our Nylon Carrier 1075 is a super smooth economical carrier manufactured completely from nylon, including nylon axle wheels.  Mounting Track Carrier. Economical all-nylon carrier 1075 for 6062 track; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/nylon-carrier-1075",Track Carrier,,,USD,EA
Construction Specialties,CS-NL1062,Carrier,10 21 23,Construction Specialties Narrowline Carrier NL1062. (factory NL1062). Narrowline Carrier 1062. Mounting Track Carrier. Narrowline Carrier NL1062 (guide NCAR 1062); buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/narrowline-carrier-1062,Track Carrier,,,USD,EA
Construction Specialties,CS-SB062,Carrier,10 21 23,"Construction Specialties Breakaway Carrier SB062. (factory SB062). Breakaway Carrier SB062 is intended for use in prisons and psychiatric institutions, this hook is designed to pop out of the axle when approximately 8 to 10 lbs. of pressure is applied.  Mounting Track Carrier. Behavioral health breakaway SB062; pops at ~8-10 lbs; reassembles on track; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/breakaway-carrier-sb062",Track Carrier,,,USD,EA
Construction Specialties,CS-SBC30,Carrier,10 21 23,Construction Specialties Breakaway Carrier SBC30. (factory SBC30). Breakaway Carrier SBC30 is a patented carrier designed for behavioral health spaces.  Mounting Track Carrier. Patented behavioral health breakaway SBC30; pops one side at 8.5-10.5 lbs; carrier stays on track; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/breakaway-carrier-sbc30,Track Carrier,,,USD,EA
Construction Specialties,CS-SP062,Carrier,10 21 23,"Construction Specialties Spool Carrier SP062. (factory SP062). Manufactured from nylon/Delrin, our CS Spool Carriers feature a nickel-plated brass bead chain and polished aluminum hook for fast, free movement.  Mounting Track Carrier. Universal spool carrier SP062 for C-channel tracks; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/spool-carrier",Track Carrier,,,USD,EA
Construction Specialties,CS-cs-on-the-right-track-curtains,Cubicle Curtain,10 21 23,Construction Specialties On The Right Track Curtains. On The Right Track Cubicle Curtains use hookless rings that are integrated into the curtain for quick removal.  Mounting Hookless. Hookless integrated-ring curtain for On The Right Track system; buyOnline available | https://www.c-sgroup.com/product/curtains/cs-on-the-right-track-curtains,Hookless,,,USD,EA
Construction Specialties,CS-hush-curtain,Cubicle Curtain,10 21 23,Construction Specialties CS HUSH Curtain®. HUSH Curtains provide privacy by incorporating proprietary acoustical panels that help absorb and block sound.  Acoustical privacy curtain; modular 3'-5' sections per product guide; buyOnline available | https://www.c-sgroup.com/product/curtains/hush-curtain,,,,USD,EA
Construction Specialties,CS-snap-lock-curtain-system,Cubicle Curtain,10 21 23,"Construction Specialties Snap Lock Curtain System. Snap Lock Curtains, our modular cubicle curtain system, allows you to remove the fabric portion of the curtain for regular washings and simplifies inventory management.  Modular snap-lock curtain; fabric body removable for laundering; buyOnline available | https://www.c-sgroup.com/product/curtains/snap-lock-curtain-system",,,,USD,EA
Construction Specialties,CS-traditional-curtains,Cubicle Curtain,10 21 23,"Construction Specialties Traditional Curtains. Our Traditional Cubicle Curtains are available in a variety of standard and designer fabrics and are manufactured using double-needle interlock tailoring.  Made-to-order fabric curtain; standard panel width ~69""; mesh heights 18/21/28/30"" per product guide; buyOnline available | https://www.c-sgroup.com/product/curtains/traditional-curtains",,,,USD,EA
Construction Specialties,CS-cselect-fabric---sandstone,Curtain Fabric,10 21 23,Construction Specialties CSelect Fabric - Sandstone. Finish Sandstone. CSelect exclusive fabric - Sandstone; fabric option for privacy curtains | https://www.c-sgroup.com/product/Curtain-Fabrics/CSelect-Fabric---Sandstone,,,,USD,EA
Construction Specialties,CS-cselect-fabric-bark,Curtain Fabric,10 21 23,Construction Specialties CSelect Fabric - Bark. Finish Bark. CSelect exclusive fabric - Bark | https://www.c-sgroup.com/product/Curtain-Fabrics/CSelect-Fabric-Bark,,,,USD,EA
Construction Specialties,CS-cselect-seagrass,Curtain Fabric,10 21 23,Construction Specialties CSelect Fabric - Seagrass. Finish Seagrass. CSelect exclusive fabric - Seagrass | https://www.c-sgroup.com/product/Curtain-Fabrics/CSelect-Seagrass,,,,USD,EA
Construction Specialties,CS-cselect-sunset,Curtain Fabric,10 21 23,Construction Specialties CSelect Fabric - Sunset. Finish Sunset. CSelect exclusive fabric - Sunset | https://www.c-sgroup.com/product/Curtain-Fabrics/CSelect-Sunset,,,,USD,EA
Construction Specialties,CS-6062,Curtain Track,10 21 23,"Construction Specialties Standard Track - 6062. (factory 6062). Our standard aluminum cubicle track is a dual-channel extruded aluminum track that is 1-3/8. Thickness/depth 3/4"". Size/profile 1-3/8"" wide. Finish Anodized Aluminum or White Powder Coat. Mounting Surface-Mounted / Suspended. Dual-channel extruded aluminum 1-3/8"" wide x 3/4"" deep; stock length 9'6""; bundles 3'/5'/8' with stops/gates mentioned on product page; field unit typically LF; buyOnline available | https://www.c-sgroup.com/product/track-systems/standard-track-6062",Surface-Mounted / Suspended,,,USD,EA
Construction Specialties,CS-NL6062,Curtain Track,10 21 23,"Construction Specialties Narrowline Track. (factory NL6062). Our CS Narrowline anodized aluminum cubicle track is 29/32” wide x 11/16. Thickness/depth 11/16"". Size/profile 29/32"" wide. Finish Anodized Aluminum. Mounting Surface-Mounted / Ceiling-Mounted / Suspended. NL6062 Narrowline track 29/32"" wide x 11/16"" deep; stock length 9'6""; field unit typically LF; buyOnline available | https://www.c-sgroup.com/product/track-systems/narrowline-track",Surface-Mounted / Ceiling-Mounted / Suspended,,,USD,EA
Construction Specialties,CS-on-the-right-track,Curtain Track,10 21 23,"Construction Specialties On The Right Track. A quiet, hookless curtain and track system that allows curtains to be removed for cleaning in less than a minute. On the Right Track® is not currently available for distribution in Canada.  Size/profile 3/8"" x 1-1/2"". Finish White Powder Coat. Mounting Suspended / Hookless. Hookless track; stock lengths 3'/4'/5'/8' (max 8'); drops 6/12/24/48""; page notes availability may be limited; field unit typically LF; buyOnline available | https://www.c-sgroup.com/product/track-systems/on-the-right-track",Suspended / Hookless,,,USD,EA
Construction Specialties,CS-qwik-switch,Curtain Track,10 21 23,Construction Specialties Qwik Switch™. Qwik Switch is an easy way to change privacy curtains from the ground using our standard track system.  Mounting Surface-Mounted. Qwik Switch ground-level curtain change system using standard track profile; buyOnline available | https://www.c-sgroup.com/product/track-systems/qwik-switch,Surface-Mounted,,,USD,EA
Construction Specialties,CS-6062-90-deg-2x2-bend-2-pack,Curtain Track Bend,10 21 23,Construction Specialties Standard Track 6062 90° 2x2 Bend - 2 Pack. (factory 6062-90-deg-2x2-bend-2-pack). Our Standard Carrier combines a nylon axle and a wheel with a nickel plated brass bead chain and polished aluminum hook.  Mounting Surface-Mounted / Suspended. 90° 2x2 bend 2-pack for 6062 track; buyOnline; field unit PR (pair/pack); buyOnline available | https://www.c-sgroup.com/product/track-systems/standard-track-6062-90-deg-2x2-bend-2-pack,Surface-Mounted / Suspended,,,USD,EA
Construction Specialties,CS-disposable-curtains,Disposable Curtain,10 21 23,Construction Specialties Traditional Disposable Curtains. Our disposable curtains are manufactured from polypropylene and are treated with antimicrobial treatment to protect against bacteria and bacteria odors.  Antimicrobial polypropylene disposable; for traditional track/hooks; buyOnline available | https://www.c-sgroup.com/product/curtains/disposable-curtains,,,,USD,EA
Construction Specialties,CS-on-the-right-track-disposable-curtains,Disposable Curtain,10 21 23,Construction Specialties On The Right Track Disposable Curtains. On The Right Track Cubicle Curtains use hookless rings that are integrated into the curtain for quick removal.  Mounting Hookless. Disposable curtain for On The Right Track hookless system; buyOnline available | https://www.c-sgroup.com/product/curtains/on-the-right-track-disposable-curtains,Hookless,,,USD,EA
Construction Specialties,CS-17150,IV Hardware,10 21 23,"Construction Specialties 5 Bottle I.V. Pendant. (factory 17150). The CS Model 17150 5 Bottle I.V. Pendant is a telescoping, ¾. Mounting Surface-Mounted / Suspended. CS Model 17150 telescoping 5-bottle I.V. pendant; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/deluxe-5-bottle-iv-pendant",Surface-Mounted / Suspended,,,USD,EA
Construction Specialties,CS-17800,IV Hardware,10 21 23,Construction Specialties 9 Bottle I.V. Pendant. (factory 17800). The CS Model 17800 9 Bottle I.V. Pendant is a telescoping I.V. pendant that can include up to nine bottles.  Mounting Surface-Mounted / Suspended. CS Model 17800 telescoping 9-bottle I.V. pendant; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/deluxe-9-bottle-iv-pendant,Surface-Mounted / Suspended,,,USD,EA
Construction Specialties,CS-iv-carrier,IV Hardware,10 21 23,Construction Specialties I.V. Carrier. This I.V. carrier's body and wheels are manufactured from one-piece molded Celcon. The shaft and safety hook are nickel chrome-plated steel.  Mounting Track Carrier. I.V. carrier; one-piece molded Celcon body/wheels; nickel chrome-plated shaft and safety hook; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/iv-carrier,Track Carrier,,,USD,EA
Construction Specialties,CS-hookless-shower-curtains,Shower Curtain,10 21 23,Construction Specialties Hookless® Shower Curtains. Our Hookless® Shower curtains come in 100% polyester or 8 gauge vinyl and feature an ultrasonic bottom hem and magnets.  Mounting Hookless. Hookless shower curtains; 100% polyester or 8-gauge vinyl; buyOnline available | https://www.c-sgroup.com/product/curtains/hookless-shower-curtains,Hookless,,,USD,EA
Construction Specialties,CS-non-vinyl-shower-curtains,Shower Curtain,10 21 23,"Construction Specialties Non-Vinyl Shower Curtains. Our Shower Shield shower curtain is water repellent, intrinsically fire retardant, and has an antimicrobial finish making this fabric one of our most versatile.  Shower Shield water-repellent antimicrobial non-vinyl fabric; buyOnline available | https://www.c-sgroup.com/product/curtains/non-vinyl-shower-curtains",,,,USD,EA
Construction Specialties,CS-vinyl-shower-curtains,Shower Curtain,10 21 23,"Construction Specialties Vinyl Shower Curtains. Sure-Chek, our high-performing, stain and odor-resistant, vinyl shower curtain fabric with antimicrobial treatment can be wiped clean for maximum protection.  Sure-Chek vinyl shower curtain fabric with antimicrobial treatment; buyOnline available | https://www.c-sgroup.com/product/curtains/vinyl-shower-curtains",,,,USD,EA
Construction Specialties,CS-shower-curtain-rod,Shower Curtain Rod,10 21 23,"Construction Specialties Shower Curtain Rod. Our 1. Size/profile 1"" OD. 1"" OD stainless steel shower curtain rod; 1-1/4"" OD also listed on accessories sheet; radius options; five-ball shower hooks standard; buyOnline available | https://www.c-sgroup.com/product/track-systems/shower-curtain-rod",,,,USD,EA
Construction Specialties,CS-CSTOP,Track Accessory,10 21 23,Construction Specialties Track End Cap - Carrier Stop. (factory CSTOP). The track stop is used at the end of a curtain track or bend (the end opposite of the track gate).  Finish Gray/White/Aluminum. Track end cap / carrier stop CSTOP; used at end of track opposite gate; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/carrier-stop,,,,USD,EA
Construction Specialties,CS-GCCLIP,Track Accessory,10 21 23,Construction Specialties Grid Ceiling Clip. (factory GCCLIP). Our Grid Ceiling Clips allow for quick and easy installation of our standard aluminum cubicle track to horizontal tegular tile grids (T-Grids).  Finish Gray/White. Mounting Grid Ceiling. Grid Ceiling Clip GCCLIP for tegular T-grid install of aluminum track; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/grid-ceiling-clip,Grid Ceiling,,,USD,EA
Construction Specialties,CS-beaded-chain-drop,Track Accessory,10 21 23,Construction Specialties Beaded Chain Drop. Our Beaded Chain Drop is available in nickel-plated brass chain with an aluminum hook.  Beaded chain drop with aluminum hook; NFPA mesh substitute option; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/beaded-chain-drop,,,,USD,EA
Construction Specialties,CS-curtain-tiebacks,Track Accessory,10 21 23,Construction Specialties Curtain Tieback. Our Curtain Tieback is available in fabric to match the décor of your curtain or a nickel-plated bead chain finish.  Curtain tieback; fabric-match or nickel-plated bead chain; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/curtain-tiebacks,,,,USD,EA
Construction Specialties,CS-splice,Track Accessory,10 21 23,"Construction Specialties Splice. Our 6. Finish Anodized Aluminum or White Powdercoat. 6"" track splice where sections meet or radius connects to straight; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/splice",,,,USD,EA
Construction Specialties,CS-wall-socket,Track Accessory,10 21 23,Construction Specialties Wall Socket. Our Track Wall Socket component is designed to secure suspended mounted track systems to the wall and is finished to match the track color.  Finish Gray/White. Mounting Suspended / Wall. Wall socket secures suspended track to wall; finish matches track; buyOnline available | https://www.c-sgroup.com/product/curtains-and-track-accessories/wall-socket,Suspended / Wall,,,USD,EA
