manufacturer,item,category,csi_spec_section,description,mounting_type,cost,labor_per,currency,unit_of_measure
Inpro,INPRO-333,Accessory,10 26 00,Inpro Extension Roller 333 | https://www.inprocorp.com/products/extension-roller-333-tools-accessories,,,,USD,EA
Inpro,INPRO-340,Accessory,10 26 00,Inpro Vinyl Removal Tool 340 | https://www.inprocorp.com/products/vinyl-removal-tool-340-tools-accessories,,,,USD,EA
Inpro,INPRO-505,Accessory,10 26 00,Inpro Fastbond 30 Contact Cement 505 | https://www.inprocorp.com/products/fastbond-30-contact-cement-505-tools-accessories,,,,USD,EA
Inpro,INPRO-510,Accessory,10 26 00,Inpro Fastbond 30 Contact Cement 510 | https://www.inprocorp.com/products/fastbond-30-contact-cement-510-tools-accessories,,,,USD,EA
Inpro,INPRO-520,Accessory,10 26 00,Inpro Fastbond 30 Contact Cement 520 | https://www.inprocorp.com/products/fastbond-30-contact-cement-520-tools-accessories,,,,USD,EA
Inpro,INPRO-535-ACCESS,Accessory,10 26 00,Inpro Heavy Duty Construction Adhesive 535 | https://www.inprocorp.com/products/535-heavy-duty-construction-adhesive-535-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-545,Accessory,10 26 00,Inpro Notched Trowel 545 | https://www.inprocorp.com/products/notched-trowel-545-tools-accessories,,,,USD,EA
Inpro,INPRO-547,Accessory,10 26 00,Inpro Ssa Porous Wall Substrate Adhesive Ssa 547 | https://www.inprocorp.com/products/547-ssa-porous-wall-substrate-adhesive-547-ssa-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-548,Accessory,10 26 00,Inpro Non Porous Wall Substrate Adhesive 548 | https://www.inprocorp.com/products/548-non-porous-wall-substrate-adhesive-548-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-585,Accessory,10 26 00,Inpro Fastfill Color Matched Caulk 585 | https://www.inprocorp.com/products/fastfill-color-matched-caulk-585-tools-accessories,,,,USD,EA
Inpro,INPRO-585M,Accessory,10 26 00,Inpro Fastfill Color Matched Caulk 585M | https://www.inprocorp.com/products/fastfill-color-matched-caulk-585m-tools-accessories,,,,USD,EA
Inpro,INPRO-600,Accessory,10 26 00,Inpro Inpro Bond Trowel On Adhesive 600 | https://www.inprocorp.com/products/inpro-bond-trowel-on-adhesive-600-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-601,Accessory,10 26 00,Inpro Inpro Bond Trowel On Adhesive 601 | https://www.inprocorp.com/products/inpro-bond-trowel-on-adhesive-601-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-602,Accessory,10 26 00,"Water-based repositionable adhesive for Palladium, Aspex, Continuum and rubrails | Panel size: 1 gallon | https://www.inprocorp.com/products/inpro-bond-roll-on-adhesive-602-tools-accessories",Adhesive,,,USD,EA
Inpro,INPRO-603,Accessory,10 26 00,Water-based repositionable adhesive; covers 1000 sq ft per four-gallon pail | Panel size: 4 gallon | https://www.inprocorp.com/products/inpro-bond-roll-on-adhesive-603-tools-accessories,Adhesive,,,USD,EA
Inpro,INPRO-6000,Bed Locator,10 26 00,Inpro Bed Locator 6000 | https://www.inprocorp.com/products/6000-bed-locator-6000-wall-protection,,,,USD,EA
Inpro,INPRO-2500,Chair Rail,10 26 00,"Narrow 2 in chair rail | Thickness: .070"" cover | Panel size: 2 in x 12 ft | https://www.inprocorp.com/products/2500-chair-rail-2500-wall-protection",continuous aluminum retainer,,,USD,EA
Inpro,INPRO-2500A,Chair Rail,10 26 00,Inpro 2500 Chair Rail P 2500A | https://www.inprocorp.com/products/2500-chair-rail-2500a-p-wall-protection,,,,USD,EA
