Manufacturer,Item,Category,CSI Spec Section,Description,Mounting Type,Unit of Measure,Currency,URL
JL Industries,Ambassador,Fire Extinguisher Cabinet,10 44 00,"Ambassador Architectural Series painted-steel fire extinguisher cabinet (JL Industries / Activar CPG). Most-specified steel line; recessed 3/8 in flat, semi-recessed square or rolled, or surface-mount. Ten door styles; optional Fire-FX2 2-hour rated tub. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,Academy,Fire Extinguisher Cabinet,10 44 00,"Academy Architectural Series aluminum fire extinguisher cabinet (JL Industries / Activar CPG). Clear-anodized aluminum door and trim; steel tub (aluminum tub on surface-mount). Recessed, semi-recessed, or surface; optional Fire-FX2. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,Cosmopolitan,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan Architectural Series 304 stainless-steel fire extinguisher cabinet (JL Industries / Activar CPG). #4 satin door and trim; steel tub (stainless tub on surface-mount). Recessed, semi-recessed, or surface; optional Fire-FX2. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,Cavalier,Fire Extinguisher Cabinet,10 44 00,"Cavalier Architectural Series bronze or brass fire extinguisher cabinet (JL Industries / Activar CPG). US10 satin bronze, US10B oil-rubbed bronze, or US3 polished brass door and trim. Recessed 3/8 in flat, semi-recessed, or surface-mount. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/cavalier-series-bronze-or-brass/
JL Industries,Panorama,Fire Extinguisher Cabinet,10 44 00,"Panorama Series frameless acrylic-door fire extinguisher cabinet (JL Industries / Activar CPG). Clear polycarbonate (C70/C71) or textured identity acrylic (P/Q) door; steel, aluminum, or stainless trim. Recessed, semi-recessed, surface, or trimless. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/panorama-series-frameless-acrylic-door-fire-extinguisher-cabinet/
JL Industries,Clear Vu,Fire Extinguisher Cabinet,10 44 00,"Clear Vu Series acrylic-bubble fire extinguisher cabinet (JL Industries / Activar CPG). 180-degree bubble visibility; steel, aluminum, stainless, brass, or bronze trim. Recessed 3/8 in flat, semi-recessed, or surface-mount. 1500 series fits 2.5-10 lb. CSI 10 44 00.",Recessed / Semi-recessed / Surface,EA,USD,https://www.activarcpg.com/product/clear-vu-series-acrylic-bubble-fire-extinguisher-cabinet/
JL Industries,Embassy,Fire Extinguisher Cabinet,10 44 00,"Embassy Series trimless recessed fire extinguisher cabinet (JL Industries / Activar CPG). Decorative overlapping door with concealed hinges; steel, aluminum, stainless, bronze, or brass. ADA projection-compliant. 5600 size fits 2.5-10 lb extinguishers. CSI 10 44 00.",Recessed,EA,USD,https://www.activarcpg.com/product/embassy-series-trimless/
JL Industries,Orbit,Fire Extinguisher Cabinet,10 44 00,"Orbit Series low-profile fire extinguisher cabinet (JL Industries / Activar CPG). Tub sized only for Orbit FE10V 10 lb extinguisher; recessed 3/8 in flat (fits 3-5/8 in stud wall) or surface-mount with flush pull (4 in overall depth, ADA). CSI 10 44 00.",Recessed / Surface,EA,USD,https://www.activarcpg.com/product/orbit-series-low-profile/
JL Industries,C1013F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1013F10 (trade 1013F10): surface-mount square edge, full-view door, 0.090 in clear acrylic. Tub 13-11/16 x 27-3/16 x 6-1/2 in; overall 13-7/8 x 27-3/8 x 7-1/4 in. Fits Cosmic/Galaxy 2.5-10 lb, Mercury 2.5-5 lb, Sentinel 5 lb. White powder-coat CRS. Not ADA (surface).",Surface,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1013G10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1013G10 (trade 1013G10): surface-mount square edge, full-view door with Saf-T-Lok, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS. JL Industries / Activar CPG.",Surface,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1013V10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1013V10 (trade 1013V10): surface-mount square edge, vertical-duo door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS. JL Industries / Activar CPG.",Surface,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1013S21,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1013S21 (trade 1013S21): surface-mount square edge, solid door (no glazing) with cylinder lock. 10 lb tub. White powder-coat CRS. JL Industries / Activar CPG.",Surface,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1015F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1015F10 (trade 1015F10): fully recessed 3/8 in flat square trim, full-view door, 0.090 in clear acrylic. Tub 10-1/2 x 24 x 6 in; rough opening 11-1/2 x 25 x 5-7/8 in. Fits Cosmic/Galaxy 2.5-10 lb. ADA when handle is within 48 in AFF. White powder-coat CRS.",Recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1015V10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1015V10 (trade 1015V10): fully recessed 3/8 in flat trim, vertical-duo door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS. ADA-capable.",Recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1015W10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1015W10 (trade 1015W10): fully recessed 3/8 in flat trim, vertical-duo door with Saf-T-Lok, 0.090 in clear acrylic. Fits 2.5-10 lb extinguishers. White powder-coat CRS. Common specified lockable recessed 10 lb cabinet.",Recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1015F10FX2,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1015F10FX2: Fire-FX2 fire-rated recessed 3/8 in flat trim, full-view door, 0.090 in clear acrylic. UL 1479 / ASTM E814 up to 2 hours. 10 lb tub. White powder-coat CRS. JL Industries / Activar CPG.",Recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
