manufacturer,item,category,csi_spec_section,description,mounting_type,size_width_in,size_height_in,size_depth_in,cost,labor_per,currency,unit_of_measure,configurator_key,url
Larsen,LARS-2409-R,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 24 x 9.5 cabinet for 5-10 lb ABC extinguishers. SKU is size + recessed mount; choose series, material, door, handle, and options when adding to an estimate.",Recessed,24,9.5,6,184.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2409-SR,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 24 x 9.5 cabinet for 5-10 lb ABC extinguishers. SKU is size + semi-recessed mount (typical 2.5 in trim); choose series, material, door, handle, and options when adding to an estimate.",Semi-Recessed,24,9.5,6,195.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2409-SM,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 24 x 9.5 cabinet for 5-10 lb ABC extinguishers. SKU is size + surface mount; choose series, material, door, handle, and options when adding to an estimate.",Surface,27.5,13,6,219.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2409-RT,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 24 x 9.5 cabinet for 5-10 lb ABC extinguishers. SKU is size + trimless mount; choose series, material, door, handle, and options when adding to an estimate.",Trimless,24,9.5,6,187.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2712-R,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 27 x 12 cabinet for up to 20 lb ABC extinguishers. SKU is size + recessed mount; choose series, material, door, handle, and options when adding to an estimate.",Recessed,27,12,8,236.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2712-SR,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 27 x 12 cabinet for up to 20 lb ABC extinguishers. SKU is size + semi-recessed mount (typical 2.5 in trim); choose series, material, door, handle, and options when adding to an estimate.",Semi-Recessed,27,12,8,281.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2712-SM,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 27 x 12 cabinet for up to 20 lb ABC extinguishers. SKU is size + surface mount; choose series, material, door, handle, and options when adding to an estimate.",Surface,30.5,15.5,8.5,278.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2712-RT,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 27 x 12 cabinet for up to 20 lb ABC extinguishers. SKU is size + trimless mount; choose series, material, door, handle, and options when adding to an estimate.",Trimless,27,12,8,290.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-2720-R,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 27 x 20 dual cabinet for two 20 lb ABC extinguishers. SKU is size + recessed mount; choose series, material, door, handle, and options when adding to an estimate.",Recessed,27,20,8,348.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-3612-R,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 36 x 12 cabinet. SKU is size + recessed mount; choose series, material, door, handle, and options when adding to an estimate.",Recessed,36,12,8,311.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
Larsen,LARS-3612-SM,Fire Extinguisher Cabinet,10 44 00,"Larsen Architectural 36 x 12 cabinet. SKU is size + surface mount; choose series, material, door, handle, and options when adding to an estimate.",Surface,36,12,8,326.00,0.75,USD,EA,larsen_cabinet,https://www.larsensmfg.com/products/cabinets
