manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6001V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 13-5/8""H. 1-tier. Cat.No 6001V",12,12,13-5/8,,,,USD,EA
Penco,PENCO-6002V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 13-5/8""H. 1-tier. Cat.No 6002V",15,15,13-5/8,,,,USD,EA
Penco,PENCO-6003V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 13-5/8""H. 1-tier. Cat.No 6003V",12,18,13-5/8,,,,USD,EA
Penco,PENCO-6004V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 13-5/8""H. 1-tier. Cat.No 6004V",12,12,13-5/8,,,,USD,EA
Penco,PENCO-6005V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 15""D x 13-5/8""H. 1-tier. Cat.No 6005V",18,15,13-5/8,,,,USD,EA
Penco,PENCO-6006V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 13-5/8""H. 1-tier. Cat.No 6006V",18,18,13-5/8,,,,USD,EA
Penco,PENCO-6007V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 36.5""H. 1-tier. Cat.No 6007V",12,12,36.5,,,,USD,EA
Penco,PENCO-6008V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 36.5""H. 1-tier. Cat.No 6008V",15,15,36.5,,,,USD,EA
Penco,PENCO-6009V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 36.5""H. 1-tier. Cat.No 6009V",15,15,36.5,,,,USD,EA
Penco,PENCO-6010V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 36.5""H. 1-tier. Cat.No 6010V",18,18,36.5,,,,USD,EA
Penco,PENCO-6011V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 21""D x 36.5""H. 1-tier. Cat.No 6011V",15,21,36.5,,,,USD,EA
Penco,PENCO-6012V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 24""D x 36.5""H. 1-tier. Cat.No 6012V",18,24,36.5,,,,USD,EA
Penco,PENCO-6020V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 12""D x 36.5""H. 1-tier. Cat.No 6020V",21,12,36.5,,,,USD,EA
Penco,PENCO-6021V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 15""D x 36.5""H. 1-tier. Cat.No 6021V",24,15,36.5,,,,USD,EA
Penco,PENCO-6022V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 18""D x 36.5""H. 1-tier. Cat.No 6022V",24,18,36.5,,,,USD,EA
Penco,PENCO-6023V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 21""D x 36.5""H. 1-tier. Cat.No 6023V",15,21,36.5,,,,USD,EA
Penco,PENCO-6024V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 24""D x 36.5""H. 1-tier. Cat.No 6024V",18,24,36.5,,,,USD,EA
Penco,PENCO-6025V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 48.5""H. 1-tier. Cat.No 6025V",12,12,48.5,,,,USD,EA
Penco,PENCO-6026V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 48.5""H. 1-tier. Cat.No 6026V",15,15,48.5,,,,USD,EA
Penco,PENCO-6028V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 48.5""H. 1-tier. Cat.No 6028V",21,21,48.5,,,,USD,EA
Penco,PENCO-6029V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 48.5""H. 1-tier. Cat.No 6029V",24,24,48.5,,,,USD,EA
Penco,PENCO-6030V,Locker,10 51 13,"Penco Vanguard. Locker. 1""W x 24""D x 36.5""H. 1-tier. Cat.No 6030V",1,24,36.5,,,,USD,EA
Penco,PENCO-6031V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 48.5""H. 1-tier. Cat.No 6031V",18,18,48.5,,,,USD,EA
Penco,PENCO-6032V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 48.5""H. 1-tier. Cat.No 6032V",21,21,48.5,,,,USD,EA
